Uzundzhovo,41.9631,25.6558,Bulgaria,BG,Haskovo,,1720,1720
Busmantsi,42.6833,23.4333,Bulgaria,BG,Sofia-Grad,,1674,1669
Polikrayshte,43.1807,25.6199,Bulgaria,BG,Veliko Tarnovo,,1674,1639
Lesnovo,42.6431,23.6402,Bulgaria,BG,Sofia,,1667,1648
Merichleri,42.1333,25.5000,Bulgaria,BG,Haskovo,,1659,1642
Lyuben Karavelovo,43.3428,27.7756,Bulgaria,BG,Varna,,1650,1650
Divotino,42.6555,23.0496,Bulgaria,BG,Pernik,,1645,1636
Byal Izvor,41.5461,25.0738,Bulgaria,BG,Kardzhali,,1645,1645
Kermen,42.5040,26.2560,Bulgaria,BG,Sliven,,1624,1593
Ravnets,42.5145,27.2405,Bulgaria,BG,Burgas,,1610,1610
Kukorevo,42.4477,26.5331,Bulgaria,BG,Yambol,,1599,1587
Samoranovo,42.2655,23.1583,Bulgaria,BG,Kyustendil,,1580,1580
Stozher,43.4500,27.8167,Bulgaria,BG,Dobrich,,1550,1540
Dzhulyunitsa,43.1374,25.9017,Bulgaria,BG,Veliko Tarnovo,,1533,1504
Zheleznitsa,42.5333,23.3667,Bulgaria,BG,Sofia-Grad,,1526,1526
Slokoshtitsa,42.2633,22.7019,Bulgaria,BG,Kyustendil,,1510,1494
Orizare,42.7498,27.6204,Bulgaria,BG,Burgas,,1496,1487
Negovan,42.7695,23.4041,Bulgaria,BG,Sofia-Grad,,1489,1489
Trivoditsi,42.1358,24.4661,Bulgaria,BG,Plovdiv,,1478,1478
Krepost,42.0081,25.5900,Bulgaria,BG,Haskovo,,1475,1475
Grivitsa,43.4132,24.7054,Bulgaria,BG,Pleven,,1471,1449
Studena,42.5439,23.1209,Bulgaria,BG,Pernik,,1461,1461
Bistritsa,42.2393,23.1575,Bulgaria,BG,Kyustendil,,1453,1453
Stratsin,42.7726,27.4710,Bulgaria,BG,Burgas,,1415,1403
Mirovyane,42.7833,23.3000,Bulgaria,BG,Sofia-Grad,,1414,1414
Saraya,42.2511,24.3203,Bulgaria,BG,Pazardzhik,,1405,1405
Planinitsa,42.8916,27.1551,Bulgaria,BG,Burgas,,1402,1402
Krivina,42.6833,23.4667,Bulgaria,BG,Sofia-Grad,,1368,1368
Karageorgievo,42.7357,27.1845,Bulgaria,BG,Burgas,,1351,1344
Prosenik,42.7982,27.4513,Bulgaria,BG,Burgas,,1335,1335
Vinogradets,42.2861,24.1302,Bulgaria,BG,Pazardzhik,,1320,1315
Tsarev Brod,43.3307,27.0114,Bulgaria,BG,Shumen,,1319,1301
Tankovo,42.6946,27.6496,Bulgaria,BG,Burgas,,1312,1312
Maglen,42.7273,27.3702,Bulgaria,BG,Burgas,,1311,1311
Tranak,42.9442,27.2117,Bulgaria,BG,Burgas,,1298,1298
Razhitsa,42.7826,27.3955,Bulgaria,BG,Burgas,,1287,1287
Dzherman,42.2263,23.0811,Bulgaria,BG,Kyustendil,,1282,1262
Shipka,42.7000,25.3833,Bulgaria,BG,Stara Zagora,,1275,1275
Basarbovo,43.7763,25.9508,Bulgaria,BG,Ruse,,1275,1267
Karabunar,42.2622,24.1715,Bulgaria,BG,Pazardzhik,,1269,1266
Benkovski,42.2082,24.6499,Bulgaria,BG,Plovdiv,,1263,1255
Kosharitsa,42.7516,27.6907,Bulgaria,BG,Burgas,,1260,1260
Konstantinovo,43.1627,27.7806,Bulgaria,BG,Varna,,1259,1255
